"Date","home_sp_id","away_sp_id","game_id","home","away","G","home_score","home_rpg_before","away_score","away_rpg_before","home_rapg_before","away_rapg_before","home_slg_pct_before","away_slg_pct_before","home_hh_pg_before","home_bip_pg_before","home_hh_pct_before","away_hh_pg_before","away_bip_pg_before","away_hh_pct_before","home_hh_last_10","away_hh_last_10","a_ml","h_ml","total","o_price","u_price","h_imp_prob","a_imp_prob","h_nv_prob","a_nv_prob","o_imp_prob","u_imp_prob","o_nv_prob","u_nv_prob","h_cover","actual_total","tot_over","away_sp_hh_pct_before","home_sp_hh_pct_before","away_sp_hh_last_3","home_sp_hh_last_3","home_score_pred1"
2021-07-24,17295,10123,"2021-07-24-TEX-HOU-1","HOU","TEX",1,4,5.484536082,1,3.948453608,4.020618557,5.082474227,0.435364042,0.373811714,11.13402062,27.56701031,0.403889304,9.082474227,24.8556701,0.365408544,0.321010854,0.341453928,190,-210,8,-120,100,0.67741935483871,0.344827586206897,0.662676822633297,0.337323177366703,0.545454545454545,0.5,0.521739130434783,0.478260869565217,1,5,0,0.371875,0.418604651162791,0.236507936507937,0.388111888111888,5.52879500657349
2021-07-24,19361,16137,"2021-07-24-CHW-MIL-1","MIL","CHW",1,6,4.489583333,1,5.384615385,3.8125,4.142857143,0.396361274,0.418867925,9.208333333,23.36458333,0.394115025,10.28571429,26.0989011,0.394105263,0.323160668,0.413750311,116,-126,7,-105,-115,0.557522123893805,0.462962962962963,0.546330496226112,0.453669503773888,0.51219512195122,0.534883720930233,0.489165763813651,0.510834236186349,1,7,0,0.341836734693878,0.27906976744186,0.326923076923077,0.268518518518518,3.92377777448098
2021-07-24,19388,16256,"2021-07-24-COL-LAD-1","LAD","COL",1,1,5.204081633,0,4.5,3.836734694,5.054347826,0.437618147,0.40547588,10.08163265,24.36734694,0.413735343,9.326086957,25.73913043,0.362331081,0.430252697,0.304409878,181,-201,8.5,-110,-110,0.667774086378738,0.355871886120996,0.652348667721556,0.347651332278444,0.523809523809524,0.523809523809524,0.5,0.5,1,1,0,0.374301675977654,0.329411764705882,0.299484004127967,0.266161616161616,5.09463554881694
2021-07-24,20617,25385,"2021-07-24-TBR-CLE-1","CLE","TBR",1,2,4.527472527,8,5.072164948,4.868131868,4.092783505,0.396983312,0.404961148,10.2967033,25.6043956,0.402145923,9.773195876,24.62886598,0.396818753,0.375608003,0.399165783,-150,140,10.5,-110,-110,0.416666666666667,0.6,0.409836065573771,0.590163934426229,0.523809523809524,0.523809523809524,0.5,0.5,0,10,0,0.455696202531646,0.495327102803738,0.408730158730159,0.650292397660819,4.30053366663655
2021-07-24,21844,23796,"2021-07-24-SDP-MIA-1","MIA","SDP",1,3,3.887755102,1,4.868686869,3.887755102,3.828282828,0.384444444,0.423125,9.051020408,23.54081633,0.384482011,10.48484848,25.1010101,0.417706237,0.363113848,0.414573454,-152,142,9,100,-120,0.413223140495868,0.603174603174603,0.406556530717605,0.593443469282395,0.5,0.545454545454545,0.478260869565217,0.521739130434783,1,4,0,0.428571428571429,0.397058823529412,0.334168755221387,0.384278711484594,3.57561616043685
2021-07-24,22250,12304,"2021-07-24-OAK-SEA-1","SEA","OAK",1,5,4.239583333,4,4.469387755,4.791666667,4.051020408,0.381385146,0.404820012,8.697916667,23.72916667,0.366549605,10.09183673,25.09183673,0.402196015,0.36132333,0.405778615,-113,103,7.5,100,-120,0.492610837438424,0.530516431924883,0.481475621058342,0.518524378941658,0.5,0.545454545454545,0.478260869565217,0.521739130434783,1,9,1,0.328651685393258,0.448979591836735,0.325814536340852,0.507575757575758,3.64184118882706
2021-07-24,22713,20492,"2021-07-24-DET-KCR-1","KCR","DET",1,9,4.322580645,8,4.585106383,5.311827957,5.138297872,0.392261718,0.39626683,10.3655914,26.37634409,0.392988178,9.436170213,24.93617021,0.378412969,0.394647981,0.363366732,126,-136,10,-115,-105,0.576271186440678,0.442477876106195,0.565665488810365,0.434334511189635,0.534883720930233,0.51219512195122,0.510834236186349,0.489165763813651,1,17,1,0.415094339622642,0.450704225352113,0.405927405927406,0.527777777777778,5.2814735017013
2021-07-25,1943,18325,"2021-07-25-TEX-HOU-1","HOU","TEX",1,3,5.459183673,1,3.918367347,3.989795918,5.06122449,0.434218289,0.37272175,11.05102041,27.46938776,0.40230312,9.051020408,24.84693878,0.364271047,0.308265756,0.333120595,230,-260,8.5,-115,-105,0.722222222222222,0.303030303030303,0.704433497536946,0.295566502463054,0.534883720930233,0.51219512195122,0.510834236186349,0.489165763813651,1,4,0,0.415384615384615,0.332467532467532,0.372222222222222,0.323830409356725,5.47718425175681
2021-07-25,4806,13273,"2021-07-25-TOR-NYM-1","NYM","TOR",1,5,4.360465116,4,5.455555556,4.255813953,4.5,0.400752909,0.458669981,9.837209302,25.47674419,0.386125057,11.51111111,27.57777778,0.417405318,0.395915459,0.390423627,-115,105,9.5,-105,-115,0.48780487804878,0.534883720930233,0.476982806433722,0.523017193566278,0.51219512195122,0.534883720930233,0.489165763813651,0.510834236186349,1,9,0,0.404651162790698,0.361623616236162,0.483333333333333,0.342086834733894,4.4938295725297
2021-07-25,6902,17149,"2021-07-25-NYY-BOS-1","BOS","NYY",1,5,5.237113402,4,4.294736842,4.546391753,4.242105263,0.443124443,0.396632367,11.05154639,26.26804124,0.420722135,10.35789474,24.63157895,0.420512821,0.457548969,0.388370796,127,-137,10.5,-120,100,0.578059071729958,0.440528634361233,0.567510356028395,0.432489643971605,0.545454545454545,0.5,0.521739130434783,0.478260869565217,1,9,0,0.37984496124031,0.404255319148936,0.402564102564103,0.436237373737374,4.72980993370292
